yearID,monthID,AVG(price_usd_per_rin)
2010,1,0.000025
2010,2,0.00002526315789473684
2010,3,0.0002156521739130435
2010,4,0.00009714285714285717
2010,5,0.0000775
2010,6,0.00005488636363636366
2010,7,0.00004416666666666668
2010,8,0.00006886363636363638
2010,9,0.00018345238095238093
2010,10,0.00017464285714285718
2010,11,0.000166875
2010,12,0.00011000000000000002
2011,1,0.00006274999999999998
2011,2,0.00005210526315789474
2011,3,0.00009358695652173913
2011,4,0.000045694444444444436
2011,5,0.00003771428571428572
2011,6,0.000046477272727272734
2011,7,0.00004350000000000001
2011,8,0.000036568181818181814
2011,9,0.00003185714285714285
2011,10,0.000025095238095238095
2011,11,0.000022025000000000007
2011,12,0.000013175000000000005
2012,1,0.00019612499999999998
2012,2,0.00020544999999999998
2012,3,0.0002333636363636364
2012,4,0.00019772222222222223
2012,5,0.00016307142857142855
2012,6,0.0001287857142857143
2012,7,0.00037488095238095244
2012,8,0.00040654347826086953
2012,9,0.0002757105263157895
2012,10,0.0003536521739130435
2012,11,0.00039032499999999996
2012,12,0.000508625
2013,1,0.0013376190476190476
2013,2,0.003361842105263158
2013,3,0.00759875
2013,4,0.0071738636363636345
2013,5,0.00831943181818182
2013,6,0.0093475
2013,7,0.011617613636363634
2013,8,0.007876136363636365
2013,9,0.00601125
2013,10,0.0032527173913043475
2013,11,0.0024256578947368422
2013,12,0.003158928571428571
2014,1,0.0032114264705882358
2014,2,0.005173684210526316
2014,3,0.0050166666666666675
2014,4,0.004393476190476191
2014,5,0.004473285714285714
2014,6,0.004904714285714286
2014,7,0.0051147727272727265
2014,8,0.005095333333333332
2014,9,0.004693714285714286
2014,10,0.004682304347826087
2014,11,0.005023111111111111
2014,12,0.006444954545454545
2015,1,0.007193750000000001
2015,2,0.007150052631578948
2015,3,0.0068495000000000006
2015,4,0.0070490000000000014
2015,5,0.007046400000000001
2015,6,0.004381954545454545
2015,7,0.004348954545454546
2015,8,0.0038908
2015,9,0.0033454285714285712
2015,10,0.003711454545454545
2015,11,0.004249473684210526
2015,12,0.007121045454545455
2016,1,0.006694263157894737
2016,2,0.007210750000000002
2016,3,0.0072307727272727254
2016,4,0.0073198095238095244
2016,5,0.0076143809523809515
2016,6,0.008439909090909088
2016,7,0.00950525
2016,8,0.0091328
